round,home,score,away,season,season_year
87,M. Petah Tikva,1:0,H. Petah Tikva,2006/07,2006
88,Maccabi Netanya,1:0,H. Kfar Saba,2006/07,2006
89,Bnei Yehuda,2:1,Maccabi Haifa,2006/07,2006
90,Hakoah Amidar,0:2,B. Jerusalem,2006/07,2006
91,Maccabi Herzlya,1:2,Hakoah Amidar,2006/07,2006
92,M. Tel Aviv,1:0,M. Petah Tikva,2006/07,2006
93,H. Kfar Saba,2:2,FC Ashdod,2006/07,2006
94,H. Petah Tikva,0:0,Bnei Yehuda,2006/07,2006
95,B. Jerusalem,0:0,Maccabi Netanya,2006/07,2006
96,Maccabi Haifa,3:2,Hapoel Tel Aviv,2006/07,2006
97,Hakoah Amidar,1:0,Maccabi Haifa,2006/07,2006
98,FC Ashdod,2:3,Maccabi Netanya,2006/07,2006
99,M. Petah Tikva,0:1,H. Kfar Saba,2006/07,2006
100,Hapoel Tel Aviv,2:0,H. Petah Tikva,2006/07,2006
101,Maccabi Herzlya,2:1,B. Jerusalem,2006/07,2006
102,Bnei Yehuda,1:1,M. Tel Aviv,2006/07,2006
103,Maccabi Haifa,0:4,Maccabi Herzlya,2006/07,2006
104,H. Petah Tikva,2:1,Hakoah Amidar,2006/07,2006
105,H. Kfar Saba,1:2,Bnei Yehuda,2006/07,2006
106,Maccabi Netanya,2:0,M. Petah Tikva,2006/07,2006
107,B. Jerusalem,2:0,FC Ashdod,2006/07,2006
108,M. Tel Aviv,0:0,Hapoel Tel Aviv,2006/07,2006
109,Bnei Yehuda,1:1,Maccabi Netanya,2006/07,2006
110,Hakoah Amidar,0:1,M. Tel Aviv,2006/07,2006
111,Maccabi Herzlya,0:0,H. Petah Tikva,2006/07,2006
112,M. Petah Tikva,2:1,FC Ashdod,2006/07,2006
113,Hapoel Tel Aviv,1:1,H. Kfar Saba,2006/07,2006
114,Maccabi Haifa,0:3,B. Jerusalem,2006/07,2006
115,H. Petah Tikva,0:2,Maccabi Haifa,2006/07,2006
116,FC Ashdod,1:1,Bnei Yehuda,2006/07,2006
117,H. Kfar Saba,1:3,Hakoah Amidar,2006/07,2006
118,M. Tel Aviv,2:1,Maccabi Herzlya,2006/07,2006
119,Maccabi Netanya,1:1,Hapoel Tel Aviv,2006/07,2006
120,B. Jerusalem,0:0,M. Petah Tikva,2006/07,2006
121,Hapoel Tel Aviv,1:0,FC Ashdod,2006/07,2006
122,Hakoah Amidar,0:1,Maccabi Netanya,2006/07,2006
123,Maccabi Herzlya,1:3,H. Kfar Saba,2006/07,2006
124,Bnei Yehuda,2:1,M. Petah Tikva,2006/07,2006
125,H. Petah Tikva,0:1,B. Jerusalem,2006/07,2006
126,Maccabi Haifa,0:0,M. Tel Aviv,2006/07,2006
127,Maccabi Netanya,1:0,Maccabi Herzlya,2006/07,2006
128,FC Ashdod,3:0,Hakoah Amidar,2006/07,2006
129,M. Tel Aviv,1:0,H. Petah Tikva,2006/07,2006
130,B. Jerusalem,0:0,Bnei Yehuda,2006/07,2006
131,H. Kfar Saba,1:1,Maccabi Haifa,2006/07,2006
132,M. Petah Tikva,0:1,Hapoel Tel Aviv,2006/07,2006
133,Maccabi Haifa,1:2,Hakoah Amidar,2006/07,2006
134,M. Tel Aviv,2:2,H. Petah Tikva,2006/07,2006
135,H. Kfar Saba,1:1,Bnei Yehuda,2006/07,2006
136,M. Petah Tikva,4:2,Maccabi Herzlya,2006/07,2006
137,Maccabi Netanya,0:2,Hapoel Tel Aviv,2006/07,2006
138,FC Ashdod,1:1,B. Jerusalem,2006/07,2006
139,Hapoel Tel Aviv,2:1,FC Ashdod,2006/07,2006
140,H. Petah Tikva,1:1,Bnei Yehuda,2006/07,2006
141,Maccabi Herzlya,1:3,H. Kfar Saba,2006/07,2006
142,Hakoah Amidar,0:1,M. Petah Tikva,2006/07,2006
143,M. Tel Aviv,2:1,Maccabi Netanya,2006/07,2006
144,B. Jerusalem,4:1,Maccabi Haifa,2006/07,2006
145,FC Ashdod,0:1,M. Tel Aviv,2006/07,2006
146,H. Kfar Saba,0:0,Hakoah Amidar,2006/07,2006
147,Bnei Yehuda,1:4,Maccabi Herzlya,2006/07,2006
148,Maccabi Netanya,2:1,H. Petah Tikva,2006/07,2006
149,M. Petah Tikva,0:1,B. Jerusalem,2006/07,2006
150,Maccabi Haifa,4:0,Hapoel Tel Aviv,2006/07,2006
151,H. Petah Tikva,2:3,Maccabi Herzlya,2006/07,2006
152,Hakoah Amidar,2:2,Bnei Yehuda,2006/07,2006
153,B. Jerusalem,2:1,H. Kfar Saba,2006/07,2006
154,Hapoel Tel Aviv,2:2,M. Petah Tikva,2006/07,2006
155,Maccabi Netanya,2:1,FC Ashdod,2006/07,2006
156,M. Tel Aviv,0:1,Maccabi Haifa,2006/07,2006
157,Maccabi Herzlya,5:0,Hakoah Amidar,2006/07,2006
158,FC Ashdod,4:1,H. Petah Tikva,2006/07,2006
159,Maccabi Haifa,0:0,Maccabi Netanya,2006/07,2006
160,M. Petah Tikva,0:2,M. Tel Aviv,2006/07,2006
161,H. Kfar Saba,1:1,Hapoel Tel Aviv,2006/07,2006
162,Bnei Yehuda,1:3,B. Jerusalem,2006/07,2006
163,H. Petah Tikva,3:2,Hakoah Amidar,2006/07,2006
164,B. Jerusalem,2:2,Maccabi Herzlya,2006/07,2006
165,M. Tel Aviv,2:2,H. Kfar Saba,2006/07,2006
166,Maccabi Netanya,0:0,M. Petah Tikva,2006/07,2006
167,FC Ashdod,0:1,Maccabi Haifa,2006/07,2006
168,Hapoel Tel Aviv,0:0,Bnei Yehuda,2006/07,2006
169,Maccabi Haifa,6:1,H. Petah Tikva,2006/07,2006
170,M. Petah Tikva,2:0,FC Ashdod,2006/07,2006
171,H. Kfar Saba,0:0,Maccabi Netanya,2006/07,2006
172,Bnei Yehuda,3:2,M. Tel Aviv,2006/07,2006
173,Maccabi Herzlya,4:1,Hapoel Tel Aviv,2006/07,2006
174,Hakoah Amidar,1:1,B. Jerusalem,2006/07,2006
175,Hapoel Tel Aviv,1:2,Hakoah Amidar,2006/07,2006
176,M. Tel Aviv,3:0,Maccabi Herzlya,2006/07,2006
177,Maccabi Netanya,3:0,Bnei Yehuda,2006/07,2006
178,FC Ashdod,2:0,H. Kfar Saba,2006/07,2006
179,Maccabi Haifa,0:1,M. Petah Tikva,2006/07,2006
180,B. Jerusalem,2:0,H. Petah Tikva,2006/07,2006
181,H. Petah Tikva,1:1,M. Petah Tikva,2006/07,2006
182,H. Kfar Saba,1:0,Maccabi Haifa,2006/07,2006
183,Bnei Yehuda,3:2,FC Ashdod,2006/07,2006
184,Maccabi Herzlya,2:3,Maccabi Netanya,2006/07,2006
185,Hakoah Amidar,0:2,M. Tel Aviv,2006/07,2006
186,B. Jerusalem,2:1,Hapoel Tel Aviv,2006/07,2006
187,M. Petah Tikva,0:0,H. Kfar Saba,2006/07,2006
188,Maccabi Netanya,2:1,Hakoah Amidar,2006/07,2006
189,FC Ashdod,0:2,Maccabi Herzlya,2006/07,2006
190,Maccabi Haifa,2:0,Bnei Yehuda,2006/07,2006
191,Hapoel Tel Aviv,5:1,H. Petah Tikva,2006/07,2006
192,M. Tel Aviv,0:1,B. Jerusalem,2006/07,2006
193,Hakoah Amidar,4:4,FC Ashdod,2006/07,2006
194,Maccabi Herzlya,0:2,Maccabi Haifa,2006/07,2006
195,Bnei Yehuda,0:1,M. Petah Tikva,2006/07,2006
196,H. Petah Tikva,2:2,H. Kfar Saba,2006/07,2006
197,B. Jerusalem,0:1,Maccabi Netanya,2006/07,2006
198,Hapoel Tel Aviv,3:0,M. Tel Aviv,2006/07,2006
