round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
20,20,138,Hapoel Haifa,0:1,Maccabi Haifa,2013/14,2013,01/02/14,6:30 PM,2014-02-01,Saturday,שבת,5
20,20,139,Bnei Sakhnin,0:2,M. Tel Aviv,2013/14,2013,02/02/14,7:50 PM,2014-02-02,Sunday,יום ראשון,6
20,20,140,B. Jerusalem,1:0,Hapoel Acre,2013/14,2013,03/02/14,6:30 PM,2014-02-03,Monday,יום שני,0
21,21,141,FC Ashdod,2:0,M. Petah Tikva,2013/14,2013,08/02/14,5:00 PM,2014-02-08,Saturday,שבת,5
21,21,142,Ramat haSharon,0:1,Bnei Sakhnin,2013/14,2013,08/02/14,5:00 PM,2014-02-08,Saturday,שבת,5
21,21,143,Kiryat Shmona,2:0,Hapoel Haifa,2013/14,2013,08/02/14,5:00 PM,2014-02-08,Saturday,שבת,5
21,21,144,Maccabi Haifa,3:1,Hapoel Raanana,2013/14,2013,08/02/14,5:00 PM,2014-02-08,Saturday,שבת,5
21,21,145,Bnei Yehuda,0:0,B. Jerusalem,2013/14,2013,08/02/14,6:30 PM,2014-02-08,Saturday,שבת,5
21,21,146,M. Tel Aviv,3:1,H. Beer Sheva,2013/14,2013,09/02/14,7:50 PM,2014-02-09,Sunday,יום ראשון,6
21,21,147,Hapoel Acre,2:1,Hapoel Tel Aviv,2013/14,2013,10/02/14,6:45 PM,2014-02-10,Monday,יום שני,0
22,22,148,Hapoel Tel Aviv,2:2,Bnei Yehuda,2013/14,2013,15/02/14,4:00 PM,2014-02-15,Saturday,שבת,5
22,22,149,Hapoel Acre,4:3,Ramat haSharon,2013/14,2013,15/02/14,5:00 PM,2014-02-15,Saturday,שבת,5
22,22,150,Hapoel Haifa,1:1,FC Ashdod,2013/14,2013,15/02/14,5:00 PM,2014-02-15,Saturday,שבת,5
22,22,151,Hapoel Raanana,0:2,Kiryat Shmona,2013/14,2013,15/02/14,5:00 PM,2014-02-15,Saturday,שבת,5
22,22,152,M. Petah Tikva,0:2,M. Tel Aviv,2013/14,2013,15/02/14,6:30 PM,2014-02-15,Saturday,שבת,5
22,22,153,B. Jerusalem,1:0,Maccabi Haifa,2013/14,2013,16/02/14,7:15 PM,2014-02-16,Sunday,יום ראשון,6
22,22,154,H. Beer Sheva,2:1,Bnei Sakhnin,2013/14,2013,17/02/14,7:50 PM,2014-02-17,Monday,יום שני,0
23,23,155,Ramat haSharon,0:4,H. Beer Sheva,2013/14,2013,22/02/14,4:00 PM,2014-02-22,Saturday,שבת,5
23,23,156,Bnei Sakhnin,0:2,M. Petah Tikva,2013/14,2013,22/02/14,5:00 PM,2014-02-22,Saturday,שבת,5
23,23,157,FC Ashdod,1:2,Hapoel Raanana,2013/14,2013,22/02/14,5:00 PM,2014-02-22,Saturday,שבת,5
23,23,158,Bnei Yehuda,1:0,Hapoel Acre,2013/14,2013,22/02/14,6:00 PM,2014-02-22,Saturday,שבת,5
23,23,159,Kiryat Shmona,1:0,B. Jerusalem,2013/14,2013,22/02/14,6:30 PM,2014-02-22,Saturday,שבת,5
23,23,160,M. Tel Aviv,2:2,Hapoel Haifa,2013/14,2013,23/02/14,7:15 PM,2014-02-23,Sunday,יום ראשון,6
23,23,161,Maccabi Haifa,3:1,Hapoel Tel Aviv,2013/14,2013,24/02/14,8:00 PM,2014-02-24,Monday,יום שני,0
24,24,162,Hapoel Tel Aviv,1:1,Kiryat Shmona,2013/14,2013,01/03/14,2:30 PM,2014-03-01,Saturday,שבת,5
24,24,163,M. Petah Tikva,1:3,H. Beer Sheva,2013/14,2013,01/03/14,4:45 PM,2014-03-01,Saturday,שבת,5
24,24,164,Hapoel Acre,1:1,Maccabi Haifa,2013/14,2013,01/03/14,6:00 PM,2014-03-01,Saturday,שבת,5
24,24,165,Bnei Yehuda,0:1,Ramat haSharon,2013/14,2013,01/03/14,7:00 PM,2014-03-01,Saturday,שבת,5
24,24,166,B. Jerusalem,2:0,FC Ashdod,2013/14,2013,01/03/14,7:00 PM,2014-03-01,Saturday,שבת,5
24,24,167,Hapoel Raanana,0:2,M. Tel Aviv,2013/14,2013,02/03/14,7:50 PM,2014-03-02,Sunday,יום ראשון,6
24,24,168,Hapoel Haifa,2:0,Bnei Sakhnin,2013/14,2013,03/03/14,7:00 PM,2014-03-03,Monday,יום שני,0
25,25,169,FC Ashdod,4:5,Hapoel Tel Aviv,2013/14,2013,08/03/14,4:00 PM,2014-03-08,Saturday,שבת,5
25,25,170,Kiryat Shmona,2:0,Hapoel Acre,2013/14,2013,08/03/14,5:00 PM,2014-03-08,Saturday,שבת,5
25,25,171,M. Petah Tikva,3:3,Ramat haSharon,2013/14,2013,08/03/14,5:00 PM,2014-03-08,Saturday,שבת,5
25,25,172,Bnei Sakhnin,2:0,Hapoel Raanana,2013/14,2013,08/03/14,5:00 PM,2014-03-08,Saturday,שבת,5
25,25,173,H. Beer Sheva,1:0,Hapoel Haifa,2013/14,2013,08/03/14,5:45 PM,2014-03-08,Saturday,שבת,5
25,25,174,Maccabi Haifa,2:2,Bnei Yehuda,2013/14,2013,09/03/14,7:15 PM,2014-03-09,Sunday,יום ראשון,6
25,25,175,M. Tel Aviv,1:0,B. Jerusalem,2013/14,2013,10/03/14,7:50 PM,2014-03-10,Monday,יום שני,0
26,26,176,Hapoel Raanana,1:0,H. Beer Sheva,2013/14,2013,15/03/14,4:00 PM,2014-03-15,Saturday,שבת,5
26,26,177,Hapoel Haifa,0:1,M. Petah Tikva,2013/14,2013,15/03/14,5:00 PM,2014-03-15,Saturday,שבת,5
26,26,178,Hapoel Acre,1:1,FC Ashdod,2013/14,2013,15/03/14,6:00 PM,2014-03-15,Saturday,שבת,5
26,26,179,Bnei Yehuda,0:0,Kiryat Shmona,2013/14,2013,15/03/14,6:00 PM,2014-03-15,Saturday,שבת,5
26,26,180,B. Jerusalem,0:1,Bnei Sakhnin,2013/14,2013,15/03/14,6:30 PM,2014-03-15,Saturday,שבת,5
26,26,181,Ramat haSharon,1:2,Maccabi Haifa,2013/14,2013,16/03/14,7:15 PM,2014-03-16,Sunday,יום ראשון,6
26,26,182,Hapoel Tel Aviv,2:3,M. Tel Aviv,2013/14,2013,17/03/14,7:55 PM,2014-03-17,Monday,יום שני,0
1,1,1,Hapoel Tel Aviv,1:0,Maccabi Netanya,2014/15,2014,13/09/14,5:00 PM,2014-09-13,Saturday,שבת,5
1,1,2,Hapoel Raanana,4:0,H. Petah Tikva,2014/15,2014,13/09/14,6:00 PM,2014-09-13,Saturday,שבת,5
1,1,3,Hapoel Acre,1:1,Hapoel Haifa,2014/15,2014,13/09/14,6:00 PM,2014-09-13,Saturday,שבת,5
1,1,4,FC Ashdod,0:0,Kiryat Shmona,2014/15,2014,13/09/14,6:00 PM,2014-09-13,Saturday,שבת,5
1,1,5,H. Beer Sheva,1:1,B. Jerusalem,2014/15,2014,13/09/14,7:10 PM,2014-09-13,Saturday,שבת,5
1,1,6,M. Petah Tikva,0:3,M. Tel Aviv,2014/15,2014,14/09/14,7:15 PM,2014-09-14,Sunday,יום ראשון,6
1,1,7,Maccabi Haifa,4:2,Bnei Sakhnin,2014/15,2014,15/09/14,7:50 PM,2014-09-15,Monday,יום שני,0
2,2,8,H. Petah Tikva,1:3,H. Beer Sheva,2014/15,2014,20/09/14,5:00 PM,2014-09-20,Saturday,שבת,5
2,2,9,Hapoel Haifa,0:2,FC Ashdod,2014/15,2014,20/09/14,6:00 PM,2014-09-20,Saturday,שבת,5
2,2,10,Bnei Sakhnin,1:1,Hapoel Acre,2014/15,2014,20/09/14,6:00 PM,2014-09-20,Saturday,שבת,5
2,2,11,Maccabi Netanya,4:4,M. Petah Tikva,2014/15,2014,20/09/14,6:30 PM,2014-09-20,Saturday,שבת,5
2,2,12,Kiryat Shmona,3:0,Hapoel Tel Aviv,2014/15,2014,20/09/14,7:10 PM,2014-09-20,Saturday,שבת,5
2,2,13,M. Tel Aviv,2:0,Hapoel Raanana,2014/15,2014,21/09/14,7:15 PM,2014-09-21,Sunday,יום ראשון,6
2,2,14,B. Jerusalem,1:0,Maccabi Haifa,2014/15,2014,22/09/14,7:50 PM,2014-09-22,Monday,יום שני,0
3,3,15,Hapoel Tel Aviv,3:0,Hapoel Haifa,2014/15,2014,27/09/14,5:00 PM,2014-09-27,Saturday,שבת,5
3,3,16,M. Petah Tikva,3:2,Hapoel Raanana,2014/15,2014,27/09/14,6:00 PM,2014-09-27,Saturday,שבת,5
3,3,17,FC Ashdod,2:2,Bnei Sakhnin,2014/15,2014,27/09/14,6:30 PM,2014-09-27,Saturday,שבת,5
3,3,18,Maccabi Netanya,1:2,Kiryat Shmona,2014/15,2014,27/09/14,6:30 PM,2014-09-27,Saturday,שבת,5
3,3,19,Hapoel Acre,1:1,B. Jerusalem,2014/15,2014,27/09/14,7:10 PM,2014-09-27,Saturday,שבת,5
3,3,20,Maccabi Haifa,3:1,H. Petah Tikva,2014/15,2014,28/09/14,7:15 PM,2014-09-28,Sunday,יום ראשון,6
3,3,21,H. Beer Sheva,3:2,M. Tel Aviv,2014/15,2014,29/09/14,7:50 PM,2014-09-29,Monday,יום שני,0
4,4,22,Hapoel Haifa,3:2,Maccabi Netanya,2014/15,2014,18/10/14,5:00 PM,2014-10-18,Saturday,שבת,5
4,4,23,Hapoel Raanana,1:1,H. Beer Sheva,2014/15,2014,18/10/14,5:00 PM,2014-10-18,Saturday,שבת,5
4,4,24,Kiryat Shmona,3:0,M. Petah Tikva,2014/15,2014,18/10/14,6:30 PM,2014-10-18,Saturday,שבת,5
4,4,25,H. Petah Tikva,4:1,Hapoel Acre,2014/15,2014,18/10/14,6:30 PM,2014-10-18,Saturday,שבת,5
4,4,26,Bnei Sakhnin,1:1,Hapoel Tel Aviv,2014/15,2014,18/10/14,7:10 PM,2014-10-18,Saturday,שבת,5
4,4,27,B. Jerusalem,1:1,FC Ashdod,2014/15,2014,19/10/14,7:15 PM,2014-10-19,Sunday,יום ראשון,6
4,4,28,M. Tel Aviv,3:1,Maccabi Haifa,2014/15,2014,20/10/14,7:55 PM,2014-10-20,Monday,יום שני,0
5,5,29,M. Petah Tikva,0:4,H. Beer Sheva,2014/15,2014,25/10/14,4:00 PM,2014-10-25,Saturday,שבת,5
5,5,30,Maccabi Haifa,0:2,Hapoel Raanana,2014/15,2014,25/10/14,6:30 PM,2014-10-25,Saturday,שבת,5
5,5,31,FC Ashdod,1:3,H. Petah Tikva,2014/15,2014,25/10/14,6:30 PM,2014-10-25,Saturday,שבת,5
5,5,32,Maccabi Netanya,2:1,Bnei Sakhnin,2014/15,2014,25/10/14,6:30 PM,2014-10-25,Saturday,שבת,5
5,5,33,Kiryat Shmona,1:0,Hapoel Haifa,2014/15,2014,25/10/14,6:30 PM,2014-10-25,Saturday,שבת,5
5,5,34,Hapoel Acre,1:4,M. Tel Aviv,2014/15,2014,26/10/14,7:15 PM,2014-10-26,Sunday,יום ראשון,6
5,5,35,Hapoel Tel Aviv,0:2,B. Jerusalem,2014/15,2014,27/10/14,7:50 PM,2014-10-27,Monday,יום שני,0
6,6,36,Hapoel Haifa,0:1,M. Petah Tikva,2014/15,2014,28/10/14,6:00 PM,2014-10-28,Tuesday,יום שלישי,1
6,6,37,Bnei Sakhnin,1:4,Kiryat Shmona,2014/15,2014,28/10/14,6:00 PM,2014-10-28,Tuesday,יום שלישי,1
6,6,38,H. Beer Sheva,2:0,Maccabi Haifa,2014/15,2014,28/10/14,7:55 PM,2014-10-28,Tuesday,יום שלישי,1
6,6,39,Hapoel Raanana,0:2,Hapoel Acre,2014/15,2014,29/10/14,6:00 PM,2014-10-29,Wednesday,יום רביעי,2
6,6,40,M. Tel Aviv,5:2,FC Ashdod,2014/15,2014,29/10/14,6:45 PM,2014-10-29,Wednesday,יום רביעי,2
6,6,41,B. Jerusalem,1:1,Maccabi Netanya,2014/15,2014,30/10/14,7:00 PM,2014-10-30,Thursday,יום חמישי,3
6,6,42,H. Petah Tikva,0:1,Hapoel Tel Aviv,2014/15,2014,30/10/14,7:50 PM,2014-10-30,Thursday,יום חמישי,3
7,7,43,M. Petah Tikva,1:0,Maccabi Haifa,2014/15,2014,01/11/14,4:00 PM,2014-11-01,Saturday,שבת,5
7,7,44,Hapoel Haifa,0:3,Bnei Sakhnin,2014/15,2014,01/11/14,5:00 PM,2014-11-01,Saturday,שבת,5
7,7,45,FC Ashdod,1:2,Hapoel Raanana,2014/15,2014,01/11/14,5:30 PM,2014-11-01,Saturday,שבת,5
7,7,46,Hapoel Acre,1:1,H. Beer Sheva,2014/15,2014,01/11/14,6:30 PM,2014-11-01,Saturday,שבת,5
7,7,47,Maccabi Netanya,3:1,H. Petah Tikva,2014/15,2014,02/11/14,7:15 PM,2014-11-02,Sunday,יום ראשון,6
7,7,48,Kiryat Shmona,1:1,B. Jerusalem,2014/15,2014,03/11/14,6:30 PM,2014-11-03,Monday,יום שני,0
7,7,49,Hapoel Tel Aviv,0:0,M. Tel Aviv,2014/15,2014,03/11/14,7:50 PM,2014-11-03,Monday,יום שני,0
8,8,50,Maccabi Haifa,1:0,Hapoel Acre,2014/15,2014,08/11/14,4:00 PM,2014-11-08,Saturday,שבת,5
8,8,51,H. Beer Sheva,2:1,FC Ashdod,2014/15,2014,08/11/14,5:30 PM,2014-11-08,Saturday,שבת,5
8,8,52,H. Petah Tikva,1:3,Kiryat Shmona,2014/15,2014,08/11/14,6:00 PM,2014-11-08,Saturday,שבת,5
8,8,53,B. Jerusalem,0:1,Hapoel Haifa,2014/15,2014,08/11/14,6:30 PM,2014-11-08,Saturday,שבת,5
8,8,54,Hapoel Raanana,0:1,Hapoel Tel Aviv,2014/15,2014,09/11/14,7:15 PM,2014-11-09,Sunday,יום ראשון,6
8,8,55,M. Tel Aviv,3:1,Maccabi Netanya,2014/15,2014,09/11/14,7:55 PM,2014-11-09,Sunday,יום ראשון,6
8,8,56,Bnei Sakhnin,1:1,M. Petah Tikva,2014/15,2014,11/11/14,6:30 PM,2014-11-11,Tuesday,יום שלישי,1
9,9,57,Hapoel Tel Aviv,3:2,H. Beer Sheva,2014/15,2014,22/11/14,4:00 PM,2014-11-22,Saturday,שבת,5
9,9,58,Hapoel Haifa,1:1,H. Petah Tikva,2014/15,2014,22/11/14,4:00 PM,2014-11-22,Saturday,שבת,5
9,9,59,M. Petah Tikva,0:0,Hapoel Acre,2014/15,2014,22/11/14,5:30 PM,2014-11-22,Saturday,שבת,5
9,9,60,Maccabi Netanya,1:0,Hapoel Raanana,2014/15,2014,22/11/14,5:30 PM,2014-11-22,Saturday,שבת,5
9,9,61,FC Ashdod,1:0,Maccabi Haifa,2014/15,2014,22/11/14,6:30 PM,2014-11-22,Saturday,שבת,5
9,9,62,Bnei Sakhnin,1:0,B. Jerusalem,2014/15,2014,23/11/14,6:45 PM,2014-11-23,Sunday,יום ראשון,6
9,9,63,Kiryat Shmona,2:1,M. Tel Aviv,2014/15,2014,24/11/14,7:55 PM,2014-11-24,Monday,יום שני,0
10,10,64,Hapoel Raanana,0:0,Kiryat Shmona,2014/15,2014,29/11/14,2:00 PM,2014-11-29,Saturday,שבת,5
10,10,65,H. Beer Sheva,4:0,Maccabi Netanya,2014/15,2014,29/11/14,4:15 PM,2014-11-29,Saturday,שבת,5
10,10,66,Hapoel Acre,0:1,FC Ashdod,2014/15,2014,29/11/14,5:00 PM,2014-11-29,Saturday,שבת,5
10,10,67,H. Petah Tikva,2:1,Bnei Sakhnin,2014/15,2014,29/11/14,6:00 PM,2014-11-29,Saturday,שבת,5
10,10,68,M. Tel Aviv,3:0,Hapoel Haifa,2014/15,2014,29/11/14,7:00 PM,2014-11-29,Saturday,שבת,5
10,10,69,Maccabi Haifa,3:1,Hapoel Tel Aviv,2014/15,2014,30/11/14,7:55 PM,2014-11-30,Sunday,יום ראשון,6
10,10,70,B. Jerusalem,2:3,M. Petah Tikva,2014/15,2014,01/12/14,7:00 PM,2014-12-01,Monday,יום שני,0
11,11,71,Hapoel Haifa,1:0,Hapoel Raanana,2014/15,2014,02/12/14,6:00 PM,2014-12-02,Tuesday,יום שלישי,1
11,11,72,Kiryat Shmona,1:1,H. Beer Sheva,2014/15,2014,02/12/14,6:30 PM,2014-12-02,Tuesday,יום שלישי,1
11,11,73,Maccabi Netanya,0:4,Maccabi Haifa,2014/15,2014,03/12/14,6:30 PM,2014-12-03,Wednesday,יום רביעי,2
11,11,74,Hapoel Tel Aviv,1:3,Hapoel Acre,2014/15,2014,03/12/14,6:45 PM,2014-12-03,Wednesday,יום רביעי,2
11,11,75,Bnei Sakhnin,1:3,M. Tel Aviv,2014/15,2014,03/12/14,7:55 PM,2014-12-03,Wednesday,יום רביעי,2
11,11,76,M. Petah Tikva,1:1,FC Ashdod,2014/15,2014,04/12/14,6:00 PM,2014-12-04,Thursday,יום חמישי,3
11,11,77,B. Jerusalem,3:1,H. Petah Tikva,2014/15,2014,04/12/14,7:00 PM,2014-12-04,Thursday,יום חמישי,3
12,12,78,Maccabi Haifa,1:3,Kiryat Shmona,2014/15,2014,06/12/14,4:15 PM,2014-12-06,Saturday,שבת,5
12,12,79,Hapoel Acre,1:2,Maccabi Netanya,2014/15,2014,06/12/14,5:30 PM,2014-12-06,Saturday,שבת,5
12,12,80,Hapoel Raanana,1:1,Bnei Sakhnin,2014/15,2014,06/12/14,5:30 PM,2014-12-06,Saturday,שבת,5
12,12,81,H. Beer Sheva,4:0,Hapoel Haifa,2014/15,2014,06/12/14,6:30 PM,2014-12-06,Saturday,שבת,5
12,12,82,FC Ashdod,3:1,Hapoel Tel Aviv,2014/15,2014,07/12/14,7:15 PM,2014-12-07,Sunday,יום ראשון,6
12,12,83,M. Petah Tikva,1:2,H. Petah Tikva,2014/15,2014,08/12/14,6:45 PM,2014-12-08,Monday,יום שני,0
12,12,84,M. Tel Aviv,1:1,B. Jerusalem,2014/15,2014,08/12/14,7:55 PM,2014-12-08,Monday,יום שני,0
13,13,85,Maccabi Netanya,0:0,FC Ashdod,2014/15,2014,13/12/14,2:00 PM,2014-12-13,Saturday,שבת,5
13,13,86,H. Petah Tikva,1:3,M. Tel Aviv,2014/15,2014,13/12/14,4:15 PM,2014-12-13,Saturday,שבת,5
13,13,87,Kiryat Shmona,2:2,Hapoel Acre,2014/15,2014,13/12/14,5:00 PM,2014-12-13,Saturday,שבת,5
13,13,88,Bnei Sakhnin,2:0,H. Beer Sheva,2014/15,2014,13/12/14,5:00 PM,2014-12-13,Saturday,שבת,5
13,13,89,Hapoel Tel Aviv,1:2,M. Petah Tikva,2014/15,2014,13/12/14,6:45 PM,2014-12-13,Saturday,שבת,5
13,13,90,Hapoel Haifa,0:4,Maccabi Haifa,2014/15,2014,14/12/14,7:55 PM,2014-12-14,Sunday,יום ראשון,6
13,13,91,B. Jerusalem,0:0,Hapoel Raanana,2014/15,2014,15/12/14,7:00 PM,2014-12-15,Monday,יום שני,0
14,14,92,Hapoel Haifa,1:0,Hapoel Acre,2014/15,2014,20/12/14,5:00 PM,2014-12-20,Saturday,שבת,5
14,14,93,Kiryat Shmona,1:0,FC Ashdod,2014/15,2014,20/12/14,5:00 PM,2014-12-20,Saturday,שבת,5
14,14,94,H. Petah Tikva,0:0,Hapoel Raanana,2014/15,2014,20/12/14,5:30 PM,2014-12-20,Saturday,שבת,5
14,14,95,Bnei Sakhnin,1:1,Maccabi Haifa,2014/15,2014,20/12/14,5:45 PM,2014-12-20,Saturday,שבת,5
14,14,96,Maccabi Netanya,0:2,Hapoel Tel Aviv,2014/15,2014,20/12/14,6:30 PM,2014-12-20,Saturday,שבת,5
14,14,97,M. Tel Aviv,3:0,M. Petah Tikva,2014/15,2014,21/12/14,7:15 PM,2014-12-21,Sunday,יום ראשון,6
14,14,98,B. Jerusalem,0:3,H. Beer Sheva,2014/15,2014,22/12/14,7:55 PM,2014-12-22,Monday,יום שני,0
15,15,99,H. Beer Sheva,2:1,H. Petah Tikva,2014/15,2014,27/12/14,4:45 PM,2014-12-27,Saturday,שבת,5
15,15,100,Hapoel Acre,1:3,Bnei Sakhnin,2014/15,2014,27/12/14,5:00 PM,2014-12-27,Saturday,שבת,5
15,15,101,M. Petah Tikva,0:1,Maccabi Netanya,2014/15,2014,27/12/14,5:30 PM,2014-12-27,Saturday,שבת,5
15,15,102,FC Ashdod,0:1,Hapoel Haifa,2014/15,2014,27/12/14,5:30 PM,2014-12-27,Saturday,שבת,5
15,15,103,Maccabi Haifa,1:3,B. Jerusalem,2014/15,2014,27/12/14,7:00 PM,2014-12-27,Saturday,שבת,5
15,15,104,Hapoel Raanana,0:2,M. Tel Aviv,2014/15,2014,28/12/14,7:30 PM,2014-12-28,Sunday,יום ראשון,6
15,15,105,Hapoel Tel Aviv,0:1,Kiryat Shmona,2014/15,2014,29/12/14,7:55 PM,2014-12-29,Monday,יום שני,0
16,16,106,Hapoel Raanana,0:0,M. Petah Tikva,2014/15,2014,03/01/15,4:00 PM,2015-01-03,Saturday,שבת,5
16,16,107,Hapoel Haifa,1:1,Hapoel Tel Aviv,2014/15,2014,03/01/15,4:00 PM,2015-01-03,Saturday,שבת,5
16,16,108,Bnei Sakhnin,2:3,FC Ashdod,2014/15,2014,03/01/15,5:30 PM,2015-01-03,Saturday,שבת,5
16,16,109,Kiryat Shmona,3:1,Maccabi Netanya,2014/15,2014,03/01/15,6:10 PM,2015-01-03,Saturday,שבת,5
16,16,110,B. Jerusalem,4:0,Hapoel Acre,2014/15,2014,03/01/15,6:30 PM,2015-01-03,Saturday,שבת,5
16,16,111,H. Petah Tikva,2:2,Maccabi Haifa,2014/15,2014,04/01/15,7:15 PM,2015-01-04,Sunday,יום ראשון,6
16,16,112,M. Tel Aviv,0:0,H. Beer Sheva,2014/15,2014,05/01/15,7:55 PM,2015-01-05,Monday,יום שני,0
17,17,113,H. Beer Sheva,0:1,Hapoel Raanana,2014/15,2014,10/01/15,2:00 PM,2015-01-10,Saturday,שבת,5
17,17,114,Hapoel Tel Aviv,1:1,Bnei Sakhnin,2014/15,2014,10/01/15,4:15 PM,2015-01-10,Saturday,שבת,5
17,17,115,M. Petah Tikva,3:0,Kiryat Shmona,2014/15,2014,10/01/15,5:30 PM,2015-01-10,Saturday,שבת,5
17,17,116,Maccabi Netanya,0:2,Hapoel Haifa,2014/15,2014,10/01/15,5:30 PM,2015-01-10,Saturday,שבת,5
17,17,117,Hapoel Acre,1:1,H. Petah Tikva,2014/15,2014,10/01/15,5:30 PM,2015-01-10,Saturday,שבת,5
17,17,118,FC Ashdod,3:3,B. Jerusalem,2014/15,2014,10/01/15,6:45 PM,2015-01-10,Saturday,שבת,5
17,17,119,Maccabi Haifa,0:1,M. Tel Aviv,2014/15,2014,11/01/15,7:55 PM,2015-01-11,Sunday,יום ראשון,6
18,18,120,Hapoel Haifa,1:2,Kiryat Shmona,2014/15,2014,17/01/15,5:00 PM,2015-01-17,Saturday,שבת,5
18,18,121,H. Petah Tikva,1:2,FC Ashdod,2014/15,2014,17/01/15,5:30 PM,2015-01-17,Saturday,שבת,5
18,18,122,H. Beer Sheva,1:0,M. Petah Tikva,2014/15,2014,17/01/15,6:15 PM,2015-01-17,Saturday,שבת,5
18,18,123,M. Tel Aviv,3:0,Hapoel Acre,2014/15,2014,17/01/15,7:00 PM,2015-01-17,Saturday,שבת,5
18,18,124,Hapoel Raanana,1:0,Maccabi Haifa,2014/15,2014,18/01/15,7:15 PM,2015-01-18,Sunday,יום ראשון,6
18,18,125,Bnei Sakhnin,0:2,Maccabi Netanya,2014/15,2014,19/01/15,6:30 PM,2015-01-19,Monday,יום שני,0
18,18,126,B. Jerusalem,1:1,Hapoel Tel Aviv,2014/15,2014,19/01/15,7:55 PM,2015-01-19,Monday,יום שני,0
19,19,127,Hapoel Tel Aviv,0:0,H. Petah Tikva,2014/15,2014,24/01/15,4:00 PM,2015-01-24,Saturday,שבת,5
19,19,128,FC Ashdod,0:1,M. Tel Aviv,2014/15,2014,24/01/15,4:30 PM,2015-01-24,Saturday,שבת,5
19,19,129,Hapoel Acre,0:2,Hapoel Raanana,2014/15,2014,24/01/15,5:00 PM,2015-01-24,Saturday,שבת,5
19,19,130,M. Petah Tikva,0:0,Hapoel Haifa,2014/15,2014,24/01/15,5:30 PM,2015-01-24,Saturday,שבת,5
19,19,131,Maccabi Haifa,1:0,H. Beer Sheva,2014/15,2014,24/01/15,7:00 PM,2015-01-24,Saturday,שבת,5
19,19,132,Kiryat Shmona,1:1,Bnei Sakhnin,2014/15,2014,25/01/15,7:55 PM,2015-01-25,Sunday,יום ראשון,6
19,19,133,Maccabi Netanya,2:0,B. Jerusalem,2014/15,2014,26/01/15,7:15 PM,2015-01-26,Monday,יום שני,0
20,20,134,Maccabi Haifa,0:1,M. Petah Tikva,2014/15,2014,31/01/15,4:00 PM,2015-01-31,Saturday,שבת,5
20,20,135,Bnei Sakhnin,2:0,Hapoel Haifa,2014/15,2014,31/01/15,5:00 PM,2015-01-31,Saturday,שבת,5
20,20,136,H. Petah Tikva,1:1,Maccabi Netanya,2014/15,2014,31/01/15,5:30 PM,2015-01-31,Saturday,שבת,5
20,20,137,H. Beer Sheva,3:0,Hapoel Acre,2014/15,2014,31/01/15,6:20 PM,2015-01-31,Saturday,שבת,5
20,20,138,B. Jerusalem,3:1,Kiryat Shmona,2014/15,2014,01/02/15,7:15 PM,2015-02-01,Sunday,יום ראשון,6
20,20,139,Hapoel Raanana,2:0,FC Ashdod,2014/15,2014,02/02/15,6:00 PM,2015-02-02,Monday,יום שני,0
20,20,140,M. Tel Aviv,2:0,Hapoel Tel Aviv,2014/15,2014,02/02/15,7:55 PM,2015-02-02,Monday,יום שני,0
21,21,141,Hapoel Tel Aviv,2:1,Hapoel Raanana,2014/15,2014,07/02/15,4:00 PM,2015-02-07,Saturday,שבת,5
21,21,142,Kiryat Shmona,3:2,H. Petah Tikva,2014/15,2014,07/02/15,5:00 PM,2015-02-07,Saturday,שבת,5
21,21,143,M. Petah Tikva,2:0,Bnei Sakhnin,2014/15,2014,07/02/15,5:30 PM,2015-02-07,Saturday,שבת,5
21,21,144,FC Ashdod,2:2,H. Beer Sheva,2014/15,2014,07/02/15,5:30 PM,2015-02-07,Saturday,שבת,5
21,21,145,Hapoel Acre,0:0,Maccabi Haifa,2014/15,2014,07/02/15,6:20 PM,2015-02-07,Saturday,שבת,5
21,21,146,Maccabi Netanya,3:3,M. Tel Aviv,2014/15,2014,08/02/15,7:55 PM,2015-02-08,Sunday,יום ראשון,6
21,21,147,Hapoel Haifa,3:4,B. Jerusalem,2014/15,2014,09/02/15,7:15 PM,2015-02-09,Monday,יום שני,0
22,22,148,Maccabi Haifa,5:0,FC Ashdod,2014/15,2014,14/02/15,4:30 PM,2015-02-14,Saturday,שבת,5
22,22,149,Hapoel Acre,0:2,M. Petah Tikva,2014/15,2014,14/02/15,5:00 PM,2015-02-14,Saturday,שבת,5
22,22,150,H. Petah Tikva,2:1,Hapoel Haifa,2014/15,2014,14/02/15,5:00 PM,2015-02-14,Saturday,שבת,5
22,22,151,Hapoel Raanana,2:1,Maccabi Netanya,2014/15,2014,14/02/15,6:00 PM,2015-02-14,Saturday,שבת,5
22,22,152,H. Beer Sheva,1:0,Hapoel Tel Aviv,2014/15,2014,14/02/15,6:20 PM,2015-02-14,Saturday,שבת,5
22,22,153,B. Jerusalem,1:2,Bnei Sakhnin,2014/15,2014,15/02/15,7:15 PM,2015-02-15,Sunday,יום ראשון,6
22,22,154,M. Tel Aviv,1:1,Kiryat Shmona,2014/15,2014,16/02/15,7:55 PM,2015-02-16,Monday,יום שני,0
23,23,155,Maccabi Netanya,4:2,H. Beer Sheva,2014/15,2014,21/02/15,4:00 PM,2015-02-21,Saturday,שבת,5
